ROW_NUMBER,PREFERENCE,MIN_PRICE,MAX_PRICE,PRICE,NUMBERS_OF_BEDROOM,CITY,PROPERTY_TYPE_ID,FURNISH_ID,BEDROOMS,TOTAL_PRICE
1,Rent,15000,15000,"15,000/Bed",2 BHK,Central Mumbai suburbs,PT1,F1,2 ,30000
2,Rent,8500,8500,"8,500/Bed",2 BHK,Mumbai Beyond Thane,PT1,F1,2 ,17000
3,Rent,16000,16000,"16,000/Bed",3 BHK,Mira Road,PT1,F1,3 ,48000
4,Rent,7500,7500,"7,500/Bed",2 BHK,Thane,PT1,F1,2 ,15000
5,Rent,20000,20000,"20,000/Bedroom",3 BHK,Mumbai South West,PT1,F1,3 ,60000
6,Rent,24000,24000,"24,000/Bedroom",3 BHK,Mumbai Beyond Thane,PT1,F1,3 ,72000
7,Rent,12500,12500,"12,500/Bedroom",1 BHK,Navi Mumbai,PT1,F1,1 ,12500
8,Rent,6500,6500,"6,500/Bed",1 BHK,Mira Road,PT1,F3,1 ,6500
9,Rent,7000,7000,"7,000/Bedroom",2 BHK,Navi Mumbai,PT1,F3,2 ,14000
10,Rent,15000,15000,"15,000/Bedroom",8 BHK,Mumbai Beyond Thane,PT1,F1,8 ,120000
11,Rent,15000,15000,"15,000/Bed",3 BHK,Mumbai Beyond Thane,PT1,F1,3 ,45000
12,Rent,7600,7600,"7,600/Bed",3 BHK,Mumbai Beyond Thane,PT1,F1,3 ,22800
13,Rent,11000,11000,"11,000/Bed",3 BHK,Mumbai Beyond Thane,PT1,F1,3 ,33000
14,Rent,12200,12200,"12,200/Bed",2 BHK,Mumbai Beyond Thane,PT1,F1,2 ,24400
15,Rent,12500,12500,"12,500/Bed",2 BHK,Mumbai Beyond Thane,PT1,F1,2 ,25000
16,Rent,27000,27000,"27,000/Bedroom",4 BHK,Mumbai Beyond Thane,PT1,F1,4 ,108000
17,Rent,12800,12800,"12,800/Bed",2 BHK,Mumbai Beyond Thane,PT1,F1,2 ,25600
18,Rent,8000,8000,"8,000/Bedroom",1 BHK,Mumbai Beyond Thane,PT1,F3,1 ,8000
19,Rent,18000,18000,"18,000/Bed",4 BHK,Mumbai Beyond Thane,PT1,F1,4 ,72000
20,Rent,16000,16000,"16,000/Bed",1 BHK,Mumbai Beyond Thane,PT1,F1,1 ,16000
21,Rent,13000,13000,"13,000/Bed",2 BHK,Central Mumbai suburbs,PT1,F1,2 ,26000
22,Rent,9100,9100,"9,100/Bed",1 BHK,Mumbai Beyond Thane,PT1,F1,1 ,9100
23,Rent,10400,10400,"10,400/Bed",3 BHK,Mumbai Beyond Thane,PT1,F2,3 ,31200
